ID;SITUACAO
30286f7c6618a20abb07092db9007a02ef1feda8e9736522ff5156421fa4611b;CA
39559230d4854b414db12cfb2226f8c199c028ce2e2e38d7d2db351c8ae95892;CA
80a6dc2334dd05f28c80007f963bd5f71781622458adf43f24739ee9ccccb187;CA
ae6827635819175fc4eeec86e3c7dfbbf3bbabf6cb1d4b1988c1c3a7b8b5062f;CA
f2b6a6076a4dde2b569019908115a35f8881b668d44780eb9aa55766433e1530;CA
4a008d72b9e09dc8690bb025ded7a318cd2c32fe242325f85d77ce49b438d4da;CA
12482dd8e2af275913d6e472cbb88b57ef466ecab52812c34c823ed23beceeea;CA
e72bc1198a62f365bcea0e47633905f20b19544f9a8924bea3dbb91bea6e216d;CA
a28fbe3e34d2efefb3c551fd81093a612d390608af5566839de1e8b25279ff62;CA
dced6b62f77175f80579926e8186b7cc99ba7b9bb2880944223bca6964e43cde;CA
38e3ffb6a900dbf5bb402f9270e0e8ed80939c5a2fb2934599315cbe040ab672;CA
0c0a3da1495cef3affc6481aec13cbdbdbf0917a8bcf26c05ae4fe0d3ea51a92;IP
f4e32a206ff1b9dc3ff23c84e05d304494ad5fe8086465f74c38e96a07add387;CA
0d9e1ad079ff35e858f372631bfc84c38cfe2ac954b5ccb54dd1a24e376f8408;CA
daf9e2d758d90a474a70e22e1ad8121702d4a20788301b3f741d82fd1156c573;CA
8ceb015c7031369ae77fbf1ba2542e3dfd427ee5f5778c6d4a0ea32e10a0658c;IP
e02fa9ea249fdc02141bc38a87eaa9db38199a47b59ff516e4d1ee9f1e8a6af7;IP
707964eb7c9a8358c1aaff8912b1befe624f107fe484e8fdd2c79b1a558a7b90;CA
b3ff11398c77cf1b415bcfc76b1a821b3d8417b49d7989f9aea17c2af133fb3d;CA
8908fad2904941d53f7f1581a1deb03e2fc954aa485d9aca805bd439b2968d33;IP
64f938ee357210ed888b901e794ddd7f178cc49cd140ea465eeb8f1e36bcfd77;CA
869671df63fc8822927e89e571a992c831499c31b2aa14024c585e715d41feb5;CA
14212f1240a955fe65cc40edf59c2545473adf7ae2056a729e968a916afed687;CA
faf273ec01e25bc3f82dac669cdf553e802996aa0010796902c588dd16801899;IP
13ae44f36b8b0b39e0c90af7f3459ca9a6583e2f0dee957884378e03f0f82d0b;CA
f1e5a67203f7779c09cd905a5d3bf0cddab54669ff0a4fadfd82a48df9c7fb45;IP
067fcce0f9c113ffc949d0a6203d82c3d74f5b34b69f9523bb38b8d2385e6763;CA
6f400e7dd4d999f8ea5e5be642cffbf51fc47b34668cbfdb34ea89804cfae6ed;CA
ef267de39a66f87332aa2e281b192ba58914cef2effc7931a8e686822a95d8df;IP
78f031ad4c16a0a9adfb625dcbc1fa95de88ae85a729ebf426ad012ce933d9e3;CA
9fa5e16f606f1a886c6fff788db558d95998e78010c7fcc13a0f211f59ac9877;CA
b7a88e9e85a759d2f87177dd4d54e4c44a6721819885179b3f082d17e0c5367e;CA
a967ce01b9c4f7e7a5a469b94a0598c1bf1748cb24f6158c23cdc35850a80f2b;IP
5577fbb7d0053f984ae4229afe1ce23442f5429e2cb0800196a4194eaaddab32;CA
c0a7917baa47a21ebf223780508b03e24fececc065b61664cef176945c98619e;CA
ec7c6b044bb71998039b0dbf2634407f71d460e78bab2248292b6468f77b513d;CA
06d75a9c22ec217ee4ac254c87e00432f09d04cd6c01386e1c256634a137697c;CA
098690c473f935401c32ed3ad4227f6c535d94c5d40e5fef5e6a3936ba34a7ea;CA
9c250729dd4f52956e13e68597239992c72201acd4840182d474f0c382566091;CA
766e9b5759ab4dd521e18341a9cf00a2230f484a27381ae02759e1b79add011f;CA
cdf481785f3626c5f82dc592b441764782d5e5461639139360707e5da6a12968;CA
b546ccad7f53d4879ee5c945b3fcd6818254c059cb3506242e1bf6e051b896ed;IP
588a855924db1cdd46105c34c28de618390e83e595fd8f5262bbac1acedb12a6;CA
f95108d08f1994c2ca3bda64c7ac4aa14cafe14166120ccfdaf8cdd48d3642cc;CA
67004336008bfa87e11bab57796c07ae57a5e232242b84b6f859fdd0cd84c215;CA
0863f5d539ab5c954c17f6d4093fa22997daf87df4c87dafc67b42325b896cc5;CA
ac9c7321fe6e121b003e5ab5fc76a323ca68a264aed32a78b22bba099e26b542;CA
c7e1c1493e302bc602b8a38c94228a4868ceb5983bdd74473438a8fbcc28fe2b;CA
d2c4270f2505ecb141bcf882197cbfe0d1b66c3e041fa13450c2588f196e951b;IP
cbec31e762f2bac4dcec543a836bfc89dd352a283ffc3b4921c2c5ffb29ef261;CA
a187ab802f96b1f025dc2376143b16e37ea01728c54bfecd27003f3e6df90749;IP
8f2b8cf3a508a0a9ae0918bf4224ed81ea0dd342172f3dbf196aefa29c72c76b;CA
ebe96f84ffc339676de3fe70c51b440285cf23905a1742ac3fb8209fb97afc57;IP
87eb488baf778d7794d2e927959857c4088f17dd1bcdda23babaff96ba51cfc5;IP
86a129c03ad1384c16e64df21c309d2f970c186ece1d8cc96dbf6292d2eefec9;IP
d41d68688d03476cc6d0e1f349f9deca4e86b83eecbe23ba50980336648f5df0;IP
cae3f63cb20b822b8029334c59ce9c2c9d85035a3563960ac9eb32d67f19a58f;IP
